workerid	Answer.buyers	Answer.gender	Answer.nativeLanguage	Answer.orders	Answer.domains	Answer.income	Answer.inferredPrices0	Answer.inferredPrices1	Answer.inferredPrices2	Answer.inferredPrices3	Answer.inferredPrices4	Answer.inferredPrices5	Answer.inferredPrices6	Answer.inferredPrices7	Answer.inferredPrices8	Answer.inferredPrices9	Answer.age
A1TE2HRRL0B2LL	Bob,Calvin,Alex	F	English	1,2,3	watch,electric kettle,laptop	4	0.975,0.975,0.05	1,0.9,0.025	0.05,0.05,0.95	0.05,0.05,1	0.025,0.025,0.975	0.025,0.05,0.95	0.025,0.05,0.7	0.025,0.05,0.025	0.025,0.05,0	0.025,0.075,0.025	25
A1WJ1S1LXP47NH	Bob,Calvin,Alex	F	English	1,2,3	laptop,watch,electric kettle	4	1,1,0.75	1,1,0.65	0.75,0.5,0.1	1,0.225,0.15	0.25,0.225,0	0.25,0.2,0	0,0.15,0	0,0.1,0	0,0.075,0	0,0.025,0	35
AW8MS3KBOFRAS	Calvin,Alex,Bob	F	english	1,2,3	laptop,watch,electric kettle	4	0.025,0.975,1	0.025,0.975,0.95	0.7,0.325,0.325	0.725,0.35,0.325	0.25,0.275,0.05	0.275,0.275,0.05	0.15,0.2,0.025	0.15,0.225,0.025	0.025,0.125,0.05	0.025,0.125,0.025	35
A3RHYRK2KWHAAY	Bob,Calvin,Alex	F	English	1,2,3	watch,electric kettle,laptop	4	0.725,0.725,0.25	0.725,0.75,0.25	0.25,0,0.625	0.25,0,0.625	0.25,0.025,0.625	0.25,0.025,0.625	0.25,0,0.275	0.25,0,0.275	0.25,0,0.15	0.25,0,0.15	45
A12LT5LMXMNXIO	Alex,Bob,Calvin	M	English	1,2,3	watch,electric kettle,laptop	8	0.725,0.75,0.025	0.725,0.75,0	0.15,0.05,0.025	0.15,0.05,0.025	0.125,0.05,0.55	0.125,0.05,0.575	0.1,0.025,0.15	0.05,0.025,0.15	0.05,0.025,0.1	0.05,0,0.075	55
A1E7IRBPHID9JC	Bob,Calvin,Alex	F	English	1,2,3	watch,electric kettle,laptop	10	0.725,0.725,0.05	0.725,0.725,0.05	0.225,0.25,0.225	0.225,0.25,0.225	0.125,0.175,0.725	0.125,0.175,0.725	0.1,0.1,0.95	0.1,0.1,0.95	0.075,0.05,0.975	0.075,0.05,0.975	55
A13E3P6QQ9F5PO	Calvin,Alex,Bob	M	English	1,2,3	watch,electric kettle,laptop	6	0.75,1,0	0.75,1,0	0.4,0,0.75	0.4,0,0.75	0.1,0,1	0.1,0,1	0.075,0,0.1	0.075,0,0.1	0,0,0	0,0,0	45
A1Y0GZJDECNCQR	Bob,Calvin,Alex	M	English	1,2,3	watch,electric kettle,laptop	4	0.175,1,0	0.65,0.975,0	0.775,0,0.875	0.85,0,0.875	0.1,0,1	0.125,0,1	0,0,0.35	0,0,0.325	0,0,0.05	0,0,0.075	35
A261BGQAPP1916	Bob,Calvin,Alex	F	English	1,2,3	watch,electric kettle,laptop	4	1,0.95,0.275	1,0.825,0.35	0.575,0.25,0.9	0.6,0.3,0.9	0.25,0.225,0.75	0.325,0.175,0.775	0.1,0.1,0.275	0.175,0.1,0.2	0,0,0.05	0.05,0.05,0	25
A7FL0UDBGPAO0	Bob,Calvin,Alex	F	English	1,2,3	laptop,watch,electric kettle	4	0,0.7,0.775	0,0.7,0.775	1,0.65,0.1	1,0.65,0.125	0.925,0.375,0	0.925,0.35,0	0.6,0.175,0	0.6,0.15,0	0.1,0,0	0.1,0,0	35
A23MB6ZZ9X05P9	Alex,Bob,Calvin	F	english	1,2,3	watch,electric kettle,laptop	8	0.675,0.5,0.1	0.725,0.5,0.1	0.5,0.225,0.6	0.5,0.25,0.55	0.35,0.15,0.95	0.35,0.125,0.925	0.375,0.125,0.25	0.375,0.1,0.25	0.2,0.1,0.1	0.325,0.075,0.125	35
