workerid	Answer.nativeLanguage	Answer.orders	Answer.inferredPrices0	Answer.sentenceIDs	Answer.inferredPrices3	Answer.inferredPrices4	Answer.inferredPrices1	Answer.inferredPrices2	Answer.inferredPrices5	Answer.buyers	Answer.domains	Answer.income	Answer.utteredPricesRounded	Answer.age	Answer.affects	Answer.gender	Answer.numberTypes	
AKPIPW2K73A7J	english	1,2,3,4,5,6	9,12,17,8,6,9	96,88,85,87,93,95	30,32,33,30,30,27	24,6,8,3,8,6	4,12,17,8,5,5	22,31,35,29,30,26	25,5,10,2,6,6	Leon,Will,Dean,Rodney,Joseph,Carl	laptop,laptop,laptop,laptop,laptop,laptop	6	10000,10000,500,2000,500,2000	25	0.85,0.95,0.375,0.5,0.375,0.6	M	sharp,round,round,round,sharp,sharp	
A2M5HQ13XVMLMH	English	1,2,3,4,5,6	11,13,11,9,9,11	88,93,87,95,96,85	38,34,31,33,40,40	11,3,0,0,0,0	11,10,11,10,9,11	29,35,29,29,32,40	12,5,0,1,0,0	Will,Joseph,Rodney,Carl,Leon,Dean	laptop,laptop,laptop,laptop,laptop,laptop	4	10000,500,2000,2000,10000,500	25	1,0,0.5,0.3,1,0.225	F	round,sharp,round,sharp,sharp,round	
AYCHPTQRYDT7G	English	1,2,3,4,5,6	10,11,13,12,34,38	88,95,96,87,85,93	27,40,37,38,10,8	1,2,1,1,1,0	8,8,12,11,34,39	28,38,37,39,10,6	1,3,0,0,1,0	Will,Carl,Leon,Rodney,Dean,Joseph	laptop,laptop,laptop,laptop,laptop,laptop	11	10000,2000,10000,2000,500,500	45	1,0.25,0.975,0.275,0.025,0	F	round,sharp,sharp,round,round,sharp	
A9K7HUROMLTQ4	English	1,2,3,4,5,6	11,40,39,29,29,29	96,85,93,95,87,88	29,19,11,40,39,29	11,12,11,11,10,11	19,38,39,29,29,29	29,19,11,40,40,29	11,12,11,11,10,11	Leon,Dean,Joseph,Carl,Rodney,Will	laptop,laptop,laptop,laptop,laptop,laptop	4	10000,500,500,2000,2000,10000	65	0.75,0.75,0.75,0.75,0.75,1	F	sharp,round,sharp,sharp,round,round	
A21XQA7O8MV44U	english	1,2,3,4,5,6	10,11,16,10,11,10	88,96,93,95,87,85	26,28,28,31,29,29	1,1,1,1,1,1	12,10,14,12,13,11	29,30,30,29,30,30	1,1,1,0,1,1	Will,Leon,Joseph,Carl,Rodney,Dean	laptop,laptop,laptop,laptop,laptop,laptop	10	10000,10000,500,2000,2000,500	65	1,1,0.425,0.75,0.75,0.25	M	round,sharp,sharp,sharp,round,round	
A363H2EKG4U5IJ	English	1,2,3,4,5,6	8,24,20,18,36,15	87,93,96,88,85,95	31,2,25,27,2,29	0,0,3,7,0,0	4,34,17,16,36,9	13,2,25,28,3,24	0,0,3,7,0,0	Rodney,Joseph,Leon,Will,Dean,Carl	laptop,laptop,laptop,laptop,laptop,laptop	6	2000,500,10000,10000,500,2000	55	0.625,0.4,0.075,0.75,0.25,0.775	F	round,sharp,sharp,round,round,sharp	
A19M9C0DUP99O7	English	1,2,3,4,5,6	9,31,11,14,11,32	95,93,87,96,88,85	29,14,36,20,20,14	0,0,0,7,5,1	11,36,12,15,13,31	25,13,35,20,20,14	0,0,1,12,7,1	Carl,Joseph,Rodney,Leon,Will,Dean	laptop,laptop,laptop,laptop,laptop,laptop	8	2000,500,2000,10000,10000,500	35	0.5,0.3,0.5,0.725,0.65,0.375	F	sharp,sharp,round,sharp,round,round	
AQC0SZA1E9QO7	English	1,2,3,4,5,6	1,10,1,1,1,40	95,93,87,96,88,85	40,0,29,1,1,1	0,0,0,10,40,1	1,40,1,1,1,29	2,0,40,1,1,1	0,0,0,40,29,1	Carl,Joseph,Rodney,Leon,Will,Dean	laptop,laptop,laptop,laptop,laptop,laptop	4	2000,500,2000,10000,10000,500	35	0.75,0.125,0.75,0.9,0.875,0.25	M	sharp,sharp,round,sharp,round,round	
AVB9PBH3AUC8H	English	1,2,3,4,5,6	10,1,1,1,0,29	93,88,96,95,87,85	1,9,9,30,29,10	2,29,30,1,1,1	30,2,1,1,1,30	13,9,9,29,30,12	1,30,30,1,2,1	Joseph,Will,Leon,Carl,Rodney,Dean	laptop,laptop,laptop,laptop,laptop,laptop	11	500,10000,10000,2000,2000,500	35	0.225,0.75,0.75,0.25,0.25,0.25	F	sharp,round,sharp,sharp,round,round	
AUEGN4BTHZXPF	english	1,2,3,4,5,6	20,20,29,20,20,29	96,88,85,95,87,93	8,12,13,17,13,6	0,12,6,11,10,3	20,20,29,20,20,29	8,13,20,31,17,6	0,9,5,11,12,2	Leon,Will,Dean,Carl,Rodney,Joseph	laptop,laptop,laptop,laptop,laptop,laptop	0	10000,10000,500,2000,2000,500	25	0.625,0.25,0.2,0.6,0.75,0.25	F	sharp,round,round,sharp,round,sharp	
A1XUYY5NKZZXV2	English	1,2,3,4,5,6	18,12,35,8,27,28	96,95,85,87,88,93	25,36,2,37,36,12	0,0,0,0,0,0	15,11,35,7,27,40	33,29,4,37,31,11	0,1,0,0,0,0	Leon,Carl,Dean,Rodney,Will,Joseph	laptop,laptop,laptop,laptop,laptop,laptop	11	10000,2000,500,2000,10000,500	35	1,0.425,0.125,0.425,1,0.125	F	sharp,sharp,round,round,round,sharp	
A2NBFT1GR4WYDA	ENGLISH	1,2,3,4,5,6	38,39,40,39,39,38	96,95,87,85,93,88	9,20,20,20,20,20	2,1,1,1,1,10	30,38,39,39,39,38	13,20,20,20,20,20	3,2,2,2,0,10	Leon,Carl,Rodney,Dean,Joseph,Will	laptop,laptop,laptop,laptop,laptop,laptop	4	10000,2000,2000,500,500,10000	65	0.925,0.95,0.975,0.275,0.275,0.975	F	sharp,sharp,round,round,sharp,round	
