workerID, gender, nativeLanguage, income, age, sentenceID, domain, numberType, utteredPriceRounded, inferredPrice0, inferredPrice1, inferredPrice2, inferredPrice3, inferredPrice4, inferredPrice5, probOpinion, order, buyer, 
A72H1PN9MHIW6, M, English, 6, 35, 96, laptop, sharp, 10000, 26, 24, 12, 8, 0, 0, 0.925, 1, Leon, 
A72H1PN9MHIW6, M, English, 6, 35, 85, laptop, round, 500, 34, 31, 7, 6, 0, 0, 0.25, 2, Dean, 
A72H1PN9MHIW6, M, English, 6, 35, 87, laptop, round, 2000, 14, 12, 24, 24, 1, 0, 0.6, 3, Rodney, 
A72H1PN9MHIW6, M, English, 6, 35, 93, laptop, sharp, 500, 17, 34, 12, 9, 0, 0, 0.125, 4, Joseph, 
A72H1PN9MHIW6, M, English, 6, 35, 88, laptop, round, 10000, 9, 9, 20, 19, 7, 7, 0.725, 5, Will, 
A72H1PN9MHIW6, M, English, 6, 35, 95, laptop, sharp, 2000, 10, 9, 23, 30, 0, 0, 0.25, 6, Carl, 
A23RPU5ZLLFQH0, M, English, 4, 55, 87, laptop, round, 2000, 29, 30, 20, 20, 10, 10, 0.75, 1, Rodney, 
A23RPU5ZLLFQH0, M, English, 4, 55, 95, laptop, sharp, 2000, 30, 31, 20, 20, 1, 1, 0.75, 2, Carl, 
A23RPU5ZLLFQH0, M, English, 4, 55, 96, laptop, sharp, 10000, 29, 30, 20, 20, 1, 10, 0.975, 3, Leon, 
A23RPU5ZLLFQH0, M, English, 4, 55, 88, laptop, round, 10000, 31, 30, 20, 20, 2, 10, 1, 4, Will, 
A23RPU5ZLLFQH0, M, English, 4, 55, 93, laptop, sharp, 500, 31, 31, 20, 20, 1, 1, 0.25, 5, Joseph, 
A23RPU5ZLLFQH0, M, English, 4, 55, 85, laptop, round, 500, 29, 30, 20, 20, 1, 1, 0.25, 6, Dean, 
A1N5MDRGDXQY5U, F, English, 10, 35, 96, laptop, sharp, 10000, 20, 20, 39, 39, 0, 0, 1, 1, Leon, 
A1N5MDRGDXQY5U, F, English, 10, 35, 95, laptop, sharp, 2000, 20, 20, 20, 39, 0, 0, 0.75, 2, Carl, 
A1N5MDRGDXQY5U, F, English, 10, 35, 85, laptop, round, 500, 40, 0, 0, 0, 0, 0, 0.5, 3, Dean, 
A1N5MDRGDXQY5U, F, English, 10, 35, 88, laptop, round, 10000, 20, 20, 40, 40, 0, 0, 1, 4, Will, 
A1N5MDRGDXQY5U, F, English, 10, 35, 93, laptop, sharp, 500, 20, 40, 0, 0, 0, 0, 0.5, 5, Joseph, 
A1N5MDRGDXQY5U, F, English, 10, 35, 87, laptop, round, 2000, 20, 20, 40, 40, 20, 20, 0.75, 6, Rodney, 
A2BZWQGWCJS3BC, F, English, 8, 55, 95, laptop, sharp, 2000, 39, 39, 8, 9, 1, 0, 1, 1, Carl, 
A2BZWQGWCJS3BC, F, English, 8, 55, 88, laptop, round, 10000, 39, 38, 11, 11, 1, 1, 1, 2, Will, 
A2BZWQGWCJS3BC, F, English, 8, 55, 93, laptop, sharp, 500, 40, 40, 11, 11, 1, 2, 0.25, 3, Joseph, 
A2BZWQGWCJS3BC, F, English, 8, 55, 96, laptop, sharp, 10000, 37, 37, 11, 10, 1, 1, 1, 4, Leon, 
A2BZWQGWCJS3BC, F, English, 8, 55, 87, laptop, round, 2000, 38, 37, 12, 12, 1, 2, 0.975, 5, Rodney, 
A2BZWQGWCJS3BC, F, English, 8, 55, 85, laptop, round, 500, 38, 39, 9, 10, 0, 1, 0.225, 6, Dean, 
AODPVTKUSNBUT, M, english, 6, 35, 96, laptop, sharp, 10000, 20, 20, 20, 20, 20, 40, 1, 1, Leon, 
AODPVTKUSNBUT, M, english, 6, 35, 88, laptop, round, 10000, 20, 20, 20, 21, 40, 20, 1, 2, Will, 
AODPVTKUSNBUT, M, english, 6, 35, 95, laptop, sharp, 2000, 20, 20, 40, 19, 20, 19, 1, 3, Carl, 
AODPVTKUSNBUT, M, english, 6, 35, 87, laptop, round, 2000, 20, 20, 40, 20, 20, 20, 0.65, 4, Rodney, 
AODPVTKUSNBUT, M, english, 6, 35, 85, laptop, round, 500, 40, 20, 20, 20, 20, 20, 0.25, 5, Dean, 
AODPVTKUSNBUT, M, english, 6, 35, 93, laptop, sharp, 500, 20, 40, 20, 20, 20, 20, 0.1, 6, Joseph, 
A3H2NSZ2WLPA5D, F, English, 4, 35, 87, laptop, round, 2000, 40, 40, 19, 19, 0, 0, 0.75, 1, Rodney, 
A3H2NSZ2WLPA5D, F, English, 4, 35, 93, laptop, sharp, 500, 40, 40, 17, 17, 0, 0, 0.225, 2, Joseph, 
A3H2NSZ2WLPA5D, F, English, 4, 35, 96, laptop, sharp, 10000, 38, 38, 17, 17, 0, 1, 1, 3, Leon, 
A3H2NSZ2WLPA5D, F, English, 4, 35, 95, laptop, sharp, 2000, 40, 39, 17, 17, 1, 1, 0.75, 4, Carl, 
A3H2NSZ2WLPA5D, F, English, 4, 35, 88, laptop, round, 10000, 40, 40, 18, 18, 0, 0, 1, 5, Will, 
A3H2NSZ2WLPA5D, F, English, 4, 35, 85, laptop, round, 500, 40, 40, 18, 18, 0, 0, 0.25, 6, Dean, 
A3C01W6EC4R0LC, F, english, 6, 45, 95, laptop, sharp, 2000, 29, 29, 6, 9, 2, 2, 0.975, 1, Carl, 
A3C01W6EC4R0LC, F, english, 6, 45, 93, laptop, sharp, 500, 29, 29, 9, 9, 0, 1, 0.4, 2, Joseph, 
A3C01W6EC4R0LC, F, english, 6, 45, 96, laptop, sharp, 10000, 29, 29, 10, 10, 1, 2, 1, 3, Leon, 
A3C01W6EC4R0LC, F, english, 6, 45, 88, laptop, round, 10000, 29, 29, 12, 10, 1, 1, 0.975, 4, Will, 
A3C01W6EC4R0LC, F, english, 6, 45, 87, laptop, round, 2000, 29, 29, 20, 20, 2, 2, 0.75, 5, Rodney, 
A3C01W6EC4R0LC, F, english, 6, 45, 85, laptop, round, 500, 36, 36, 13, 12, 1, 0, 0.25, 6, Dean, 
A1WFHWKK5KL7F6, O, English, 0, 25, 87, laptop, round, 2000, 2, 0, 38, 35, 0, 0, 0.275, 1, Rodney, 
A1WFHWKK5KL7F6, O, English, 0, 25, 96, laptop, sharp, 10000, 0, 0, 0, 0, 29, 33, 0.8, 2, Leon, 
A1WFHWKK5KL7F6, O, English, 0, 25, 93, laptop, sharp, 500, 25, 35, 0, 0, 0, 0, 0.2, 3, Joseph, 
A1WFHWKK5KL7F6, O, English, 0, 25, 95, laptop, sharp, 2000, 0, 0, 28, 40, 0, 0, 0.575, 4, Carl, 
A1WFHWKK5KL7F6, O, English, 0, 25, 85, laptop, round, 500, 40, 40, 0, 0, 0, 0, 0.225, 5, Dean, 
A1WFHWKK5KL7F6, O, English, 0, 25, 88, laptop, round, 10000, 0, 0, 0, 0, 40, 40, 0.35, 6, Will, 
A1LYJFO46ZRHSB, F, english, 6, 35, 88, laptop, round, 10000, 30, 30, 2, 1, 1, 0, 0.75, 1, Will, 
A1LYJFO46ZRHSB, F, english, 6, 35, 95, laptop, sharp, 2000, 29, 29, 2, 12, 20, 20, 0.75, 2, Carl, 
A1LYJFO46ZRHSB, F, english, 6, 35, 87, laptop, round, 2000, 39, 38, 1, 1, 5, 2, 0.75, 3, Rodney, 
A1LYJFO46ZRHSB, F, english, 6, 35, 96, laptop, sharp, 10000, 38, 38, 1, 2, 2, 2, 0.75, 4, Leon, 
A1LYJFO46ZRHSB, F, english, 6, 35, 93, laptop, sharp, 500, 28, 38, 1, 2, 1, 1, 0.25, 5, Joseph, 
A1LYJFO46ZRHSB, F, english, 6, 35, 85, laptop, round, 500, 39, 29, 1, 1, 2, 3, 0.25, 6, Dean, 
AUO7XEZDY9496, M, English, 0, 66, 95, laptop, sharp, 2000, 16, 16, 21, 24, 0, 0, 0.775, 1, Carl, 
AUO7XEZDY9496, M, English, 0, 66, 96, laptop, sharp, 10000, 21, 21, 17, 17, 2, 0, 0.575, 2, Leon, 
AUO7XEZDY9496, M, English, 0, 66, 93, laptop, sharp, 500, 19, 30, 12, 11, 0, 0, 0.4, 3, Joseph, 
AUO7XEZDY9496, M, English, 0, 66, 85, laptop, round, 500, 31, 21, 7, 8, 0, 0, 0.4, 4, Dean, 
AUO7XEZDY9496, M, English, 0, 66, 87, laptop, round, 2000, 22, 22, 16, 15, 0, 0, 0.3, 5, Rodney, 
AUO7XEZDY9496, M, English, 0, 66, 88, laptop, round, 10000, 22, 22, 12, 12, 0, 0, 0.3, 6, Will, 
A7D1FSJZSM3MJ, F, English, 4, 35, 93, laptop, sharp, 500, 19, 39, 0, 0, 0, 0, 0.6, 1, Joseph, 
A7D1FSJZSM3MJ, F, English, 4, 35, 88, laptop, round, 10000, 0, 0, 0, 0, 40, 31, 0.925, 2, Will, 
A7D1FSJZSM3MJ, F, English, 4, 35, 95, laptop, sharp, 2000, 0, 0, 20, 40, 0, 0, 0.85, 3, Carl, 
A7D1FSJZSM3MJ, F, English, 4, 35, 87, laptop, round, 2000, 0, 0, 40, 40, 0, 0, 0.825, 4, Rodney, 
A7D1FSJZSM3MJ, F, English, 4, 35, 96, laptop, sharp, 10000, 0, 0, 0, 0, 30, 40, 0.95, 5, Leon, 
A7D1FSJZSM3MJ, F, English, 4, 35, 85, laptop, round, 500, 40, 30, 0, 0, 0, 0, 0.6, 6, Dean, 
A3P1W5CPPADUNX, M, english, 8, 45, 95, laptop, sharp, 2000, 11, 13, 39, 36, 2, 1, 0.625, 1, Carl, 
A3P1W5CPPADUNX, M, english, 8, 45, 85, laptop, round, 500, 38, 38, 1, 0, 1, 2, 0.65, 2, Dean, 
A3P1W5CPPADUNX, M, english, 8, 45, 96, laptop, sharp, 10000, 12, 12, 25, 24, 1, 1, 1, 3, Leon, 
A3P1W5CPPADUNX, M, english, 8, 45, 87, laptop, round, 2000, 16, 15, 32, 25, 0, 2, 0.75, 4, Rodney, 
A3P1W5CPPADUNX, M, english, 8, 45, 88, laptop, round, 10000, 28, 29, 28, 28, 2, 2, 0.975, 5, Will, 
A3P1W5CPPADUNX, M, english, 8, 45, 93, laptop, sharp, 500, 37, 37, 2, 1, 2, 1, 0.25, 6, Joseph, 
AK5C6N14RA7Y9, F, english, 6, 35, 96, laptop, sharp, 10000, 25, 29, 29, 24, 3, 2, 0.975, 1, Leon, 
AK5C6N14RA7Y9, F, english, 6, 35, 85, laptop, round, 500, 29, 28, 12, 15, 1, 1, 0.175, 2, Dean, 
AK5C6N14RA7Y9, F, english, 6, 35, 95, laptop, sharp, 2000, 32, 27, 25, 25, 1, 1, 0.825, 3, Carl, 
AK5C6N14RA7Y9, F, english, 6, 35, 87, laptop, round, 2000, 31, 30, 10, 9, 1, 5, 0.825, 4, Rodney, 
AK5C6N14RA7Y9, F, english, 6, 35, 93, laptop, sharp, 500, 27, 27, 14, 17, 5, 3, 0.25, 5, Joseph, 
AK5C6N14RA7Y9, F, english, 6, 35, 88, laptop, round, 10000, 27, 26, 12, 13, 3, 4, 0.675, 6, Will, 
AQ3LCZJTKPPTU, F, English, 4, 35, 96, laptop, sharp, 10000, 29, 29, 10, 10, 0, 0, 1, 1, Leon, 
AQ3LCZJTKPPTU, F, English, 4, 35, 93, laptop, sharp, 500, 29, 29, 11, 11, 0, 0, 0.5, 2, Joseph, 
AQ3LCZJTKPPTU, F, English, 4, 35, 85, laptop, round, 500, 29, 29, 12, 12, 0, 0, 0.5, 3, Dean, 
AQ3LCZJTKPPTU, F, English, 4, 35, 95, laptop, sharp, 2000, 29, 29, 12, 12, 0, 0, 0.75, 4, Carl, 
AQ3LCZJTKPPTU, F, English, 4, 35, 88, laptop, round, 10000, 29, 29, 10, 10, 0, 0, 1, 5, Will, 
AQ3LCZJTKPPTU, F, English, 4, 35, 87, laptop, round, 2000, 29, 29, 10, 10, 0, 0, 0.5, 6, Rodney, 
A3NOYN845TEJIH, M, english, 6, 45, 95, laptop, sharp, 2000, 14, 14, 27, 37, 1, 2, 0.9, 1, Carl, 
A3NOYN845TEJIH, M, english, 6, 45, 96, laptop, sharp, 10000, 12, 12, 29, 29, 5, 3, 1, 2, Leon, 
A3NOYN845TEJIH, M, english, 6, 45, 93, laptop, sharp, 500, 28, 37, 6, 3, 2, 2, 0.275, 3, Joseph, 
A3NOYN845TEJIH, M, english, 6, 45, 85, laptop, round, 500, 37, 31, 9, 6, 6, 4, 0.175, 4, Dean, 
A3NOYN845TEJIH, M, english, 6, 45, 87, laptop, round, 2000, 12, 9, 33, 23, 5, 4, 0.675, 5, Rodney, 
A3NOYN845TEJIH, M, english, 6, 45, 88, laptop, round, 10000, 7, 3, 26, 27, 14, 6, 0.95, 6, Will, 
ABBQZ94MQ3K2N, M, English, 4, 35, 95, laptop, sharp, 2000, 10, 10, 20, 37, 0, 0, 0.25, 1, Carl, 
ABBQZ94MQ3K2N, M, English, 4, 35, 85, laptop, round, 500, 40, 30, 10, 10, 0, 0, 0.25, 2, Dean, 
ABBQZ94MQ3K2N, M, English, 4, 35, 96, laptop, sharp, 10000, 11, 11, 29, 29, 0, 0, 1, 3, Leon, 
ABBQZ94MQ3K2N, M, English, 4, 35, 88, laptop, round, 10000, 10, 10, 29, 29, 0, 0, 1, 4, Will, 
ABBQZ94MQ3K2N, M, English, 4, 35, 93, laptop, sharp, 500, 29, 40, 10, 10, 1, 0, 0.25, 5, Joseph, 
ABBQZ94MQ3K2N, M, English, 4, 35, 87, laptop, round, 2000, 10, 10, 40, 30, 0, 0, 0.75, 6, Rodney, 
A37RBM3OBGEPCH, F, Spanish, 0, 25, 93, laptop, sharp, 500, 40, 40, 0, 0, 0, 0, 0.75, 1, Joseph, 
A37RBM3OBGEPCH, F, Spanish, 0, 25, 88, laptop, round, 10000, 0, 0, 0, 0, 40, 40, 1, 2, Will, 
A37RBM3OBGEPCH, F, Spanish, 0, 25, 96, laptop, sharp, 10000, 0, 0, 0, 0, 40, 40, 0.725, 3, Leon, 
A37RBM3OBGEPCH, F, Spanish, 0, 25, 95, laptop, sharp, 2000, 0, 1, 40, 40, 0, 1, 1, 4, Carl, 
A37RBM3OBGEPCH, F, Spanish, 0, 25, 87, laptop, round, 2000, 0, 0, 40, 40, 0, 0, 1, 5, Rodney, 
A37RBM3OBGEPCH, F, Spanish, 0, 25, 85, laptop, round, 500, 40, 40, 0, 0, 0, 0, 0.55, 6, Dean, 
