workerID, gender, nativeLanguage, income, age, sentenceID, domain, numberType, utteredPriceRounded, utteredPrice, inferredPrice0, inferredPrice1, inferredPrice2, inferredPrice3, inferredPrice4, inferredPrice5, inferredPrice6, inferredPrice7, inferredPrice8, inferredPrice9,  probOpinion, order, buyer, 
AYEIQ08ZWJX3L, F, English, 4, 25, 6, electric kettle, sharp, 50, 51, 0.9, 0.975, 0.05, 0.05, 0.025, 0.05, 0.05, 0.025, 0.025, 0.025, 0.025, 11, Frank, 
AYEIQ08ZWJX3L, F, English, 4, 25, 27, laptop, sharp, 500, 499, 0.025, 0.05, 0.9, 0.975, 0.025, 0.025, 0.025, 0.05, 0.05, 0.025, 0.25, 12, Daniel, 
AYEIQ08ZWJX3L, F, English, 4, 25, 11, watch, round, 50, 50, 0.975, 0.925, 0.025, 0.05, 0.025, 0.05, 0.05, 0.05, 0.05, 0.05, 0.25, 13, Kenneth, 
AYEIQ08ZWJX3L, F, English, 4, 25, 10, electric kettle, sharp, 10000, 10002, 0.05, 0.025, 0.05, 0.025, 0.05, 0.025, 0, 0.05, 0.925, 0.975, 0.975, 14, Jake, 
AYEIQ08ZWJX3L, F, English, 4, 25, 22, laptop, round, 500, 500, 0.05, 0.025, 0.975, 0.925, 0.025, 0.025, 0, 0.025, 0.025, 0.025, 0.5, 15, Winston, 
A2Z8F0B2YGRFEY, M, English, 6, 35, 23, laptop, round, 1000, 1000, 0, 0, 0.775, 0.95, 0.325, 0.25, 0, 0.375, 0.05, 0.075, 0.325, 1, Zach, 
A2Z8F0B2YGRFEY, M, English, 6, 35, 7, electric kettle, sharp, 500, 503, 0.7, 0.6, 0.025, 0.025, 0.05, 0.075, 0.025, 0.1, 0.05, 0.05, 0, 2, George, 
A2Z8F0B2YGRFEY, M, English, 6, 35, 24, laptop, round, 5000, 5000, 0.075, 0.025, 0.75, 0.425, 0.6, 0.6, 0.275, 0.3, 0.25, 0.125, 0.225, 3, Albert, 
A2Z8F0B2YGRFEY, M, English, 6, 35, 21, laptop, round, 50, 50, 0.4, 0.575, 0.5, 0.5, 0.4, 0.4, 0.625, 0.5, 0.5, 0.5, 0.65, 4, Victor, 
A2Z8F0B2YGRFEY, M, English, 6, 35, 17, watch, sharp, 500, 501, 0.4, 0.5, 0.6, 0.5, 0.5, 0.5, 0.5, 0.6, 0.375, 0.5, 0.35, 5, Quinn, 
A2Z8F0B2YGRFEY, M, English, 6, 35, 9, electric kettle, sharp, 5000, 5001, 0.625, 0.4, 0.575, 0.75, 0.6, 0.625, 0.5, 0.65, 0.325, 0.2, 0.625, 6, Ivan, 
A2Z8F0B2YGRFEY, M, English, 6, 35, 10, electric kettle, sharp, 10000, 9999, 0.4, 0.55, 0.5, 0.45, 0.6, 0.625, 0.5, 0.675, 0.55, 0.6, 0.65, 7, Jake, 
A2Z8F0B2YGRFEY, M, English, 6, 35, 3, electric kettle, round, 1000, 1000, 0.5, 0.65, 0.4, 0.5, 0.5, 0.35, 0.5, 0.575, 0.6, 0.475, 0.6, 8, Calvin, 
A2Z8F0B2YGRFEY, M, English, 6, 35, 28, laptop, sharp, 1000, 999, 0.65, 0.5, 0.625, 0.675, 0.725, 0.65, 0.725, 0.825, 0.65, 0.475, 0.625, 9, Ethan, 
A2Z8F0B2YGRFEY, M, English, 6, 35, 12, watch, round, 500, 500, 0.5, 0.5, 0.65, 0.2, 0.7, 0.625, 0.45, 0.85, 0.225, 0.15, 0.625, 10, Luke, 
A2Z8F0B2YGRFEY, M, English, 6, 35, 6, electric kettle, sharp, 50, 53, 0.575, 0.425, 0.4, 0.4, 0.275, 0.275, 0.275, 0.25, 0.225, 0.075, 0.575, 11, Frank, 
A2Z8F0B2YGRFEY, M, English, 6, 35, 20, watch, sharp, 10000, 10003, 0.425, 0.6, 0.425, 0.575, 0.6, 0.5, 0.4, 0.55, 0.575, 0.425, 0.4, 12, Tom, 
A2Z8F0B2YGRFEY, M, English, 6, 35, 19, watch, sharp, 5000, 4997, 0.675, 0.7, 0.575, 0.575, 0.5, 0.5, 0.5, 0.425, 0.4, 0.35, 0.55, 13, Steve, 
A2Z8F0B2YGRFEY, M, English, 6, 35, 5, electric kettle, round, 10000, 10000, 0.575, 0.625, 0.625, 0.65, 0.625, 0.5, 0.5, 0.4, 0.425, 0.225, 0.1, 14, Eric, 
A2Z8F0B2YGRFEY, M, English, 6, 35, 13, watch, round, 1000, 1000, 0.725, 0.6, 0.625, 0.575, 0.5, 0.5, 0.5, 0.475, 0.375, 0.1, 0.525, 15, Matt, 
AQTXL6NB8MCG1, F, English, 11, 55, 30, laptop, sharp, 10000, 9997, 0.1, 0.175, 0.5, 0.35, 0.725, 0.875, 0.15, 0.125, 0.175, 0.15, 0.725, 1, Gary, 
AQTXL6NB8MCG1, F, English, 11, 55, 25, laptop, round, 10000, 10000, 0.1, 0.075, 0.05, 0.125, 0.925, 0.85, 0.375, 0.375, 0.125, 0.125, 0.675, 2, Barry, 
AQTXL6NB8MCG1, F, English, 11, 55, 26, laptop, sharp, 50, 49, 0.125, 0.2, 0.625, 0.5, 0.7, 0.775, 0.15, 0.075, 0.075, 0.075, 0.55, 3, Charles, 
AQTXL6NB8MCG1, F, English, 11, 55, 18, watch, sharp, 1000, 999, 0.05, 0.05, 0.05, 0.65, 0.625, 0.9, 0.05, 0.175, 0.125, 0.15, 0.65, 4, Robert, 
AQTXL6NB8MCG1, F, English, 11, 55, 24, laptop, round, 5000, 5000, 0.025, 0.05, 0.05, 0.05, 0.575, 0.5, 0.825, 0.8, 0.025, 0.025, 0.925, 5, Albert, 
AQTXL6NB8MCG1, F, English, 11, 55, 23, laptop, round, 1000, 1000, 0.075, 0.025, 0.25, 0.45, 0.975, 0.925, 0.2, 0.2, 0.125, 0.175, 0.525, 6, Zach, 
AQTXL6NB8MCG1, F, English, 11, 55, 11, watch, round, 50, 50, 0.9, 0.9, 0.15, 0.15, 0.1, 0.025, 0.025, 0.025, 0, 0.025, 0.25, 7, Kenneth, 
AQTXL6NB8MCG1, F, English, 11, 55, 1, electric kettle, round, 50, 50, 0.975, 0.925, 0.325, 0.075, 0.125, 0.025, 0.075, 0.05, 0.1, 0.025, 0.2, 8, Alex, 
AQTXL6NB8MCG1, F, English, 11, 55, 12, watch, round, 500, 500, 0.25, 0.125, 1, 0.975, 0.375, 0.05, 0.05, 0.025, 0.025, 0.025, 0.575, 9, Luke, 
AQTXL6NB8MCG1, F, English, 11, 55, 19, watch, sharp, 5000, 5003, 0.025, 0, 0.925, 0.85, 0, 0.025, 0.95, 0.775, 0.775, 0.025, 0.725, 10, Steve, 
AQTXL6NB8MCG1, F, English, 11, 55, 29, laptop, sharp, 5000, 4997, 0.175, 0.125, 0.5, 0.5, 0.75, 0.85, 1, 1, 0.025, 0.05, 0.975, 11, Fred, 
AQTXL6NB8MCG1, F, English, 11, 55, 10, electric kettle, sharp, 10000, 10001, 0.825, 0.775, 0.075, 0.05, 0.025, 0.025, 0, 0.025, 0, 0, 0.25, 12, Jake, 
AQTXL6NB8MCG1, F, English, 11, 55, 14, watch, round, 5000, 5000, 0.675, 0.65, 0.975, 0.95, 0.75, 0.7, 0.875, 0.675, 0.05, 0, 0.75, 13, Nathan, 
AQTXL6NB8MCG1, F, English, 11, 55, 3, electric kettle, round, 1000, 1000, 0.85, 0.825, 0.125, 0.05, 0.025, 0.025, 0, 0.025, 0.025, 0, 0, 14, Calvin, 
AQTXL6NB8MCG1, F, English, 11, 55, 13, watch, round, 1000, 1000, 0.55, 0.6, 0.725, 0.75, 0.925, 0.925, 0.025, 0, 0.025, 0.025, 0.7, 15, Matt, 
AMSGBMFZ5TAPQ, M, English, 4, 25, 21, laptop, round, 50, 50, 0.975, 0.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, Victor, 
AMSGBMFZ5TAPQ, M, English, 4, 25, 11, watch, round, 50, 50, 1, 0.75, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 2, Kenneth, 
AMSGBMFZ5TAPQ, M, English, 4, 25, 20, watch, sharp, 10000, 10002, 0, 0, 0, 0, 0, 0, 0, 0, 0.25, 1, 1, 3, Tom, 
AMSGBMFZ5TAPQ, M, English, 4, 25, 22, laptop, round, 500, 500, 0, 0, 1, 0.95, 0, 0, 0, 0, 0, 0, 0.625, 4, Winston, 
AMSGBMFZ5TAPQ, M, English, 4, 25, 13, watch, round, 1000, 1000, 0, 0, 0, 0, 1, 0.925, 0, 0, 0, 0, 0.75, 5, Matt, 
AMSGBMFZ5TAPQ, M, English, 4, 25, 14, watch, round, 5000, 5000, 0.025, 0.025, 0, 0.05, 0.025, 0.025, 1, 0.975, 0, 0, 0.95, 6, Nathan, 
AMSGBMFZ5TAPQ, M, English, 4, 25, 9, electric kettle, sharp, 5000, 4998, 0, 0.025, 0.025, 0.025, 0.025, 0, 0.875, 0.975, 0.025, 0, 0.9, 7, Ivan, 
AMSGBMFZ5TAPQ, M, English, 4, 25, 29, laptop, sharp, 5000, 4999, 0.025, 0, 0, 0, 0, 0, 0.875, 1, 0, 0, 0.825, 8, Fred, 
AMSGBMFZ5TAPQ, M, English, 4, 25, 30, laptop, sharp, 10000, 10003, 0, 0, 0, 0, 0.025, 0, 0.025, 0.025, 0.875, 1, 1, 9, Gary, 
AMSGBMFZ5TAPQ, M, English, 4, 25, 28, laptop, sharp, 1000, 1001, 0, 0, 0, 0, 0.85, 1, 0, 0, 0.025, 0, 0.65, 10, Ethan, 
AMSGBMFZ5TAPQ, M, English, 4, 25, 5, electric kettle, round, 10000, 10000, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0.875, 1, 11, Eric, 
AMSGBMFZ5TAPQ, M, English, 4, 25, 3, electric kettle, round, 1000, 1000, 0.025, 0, 0, 0, 1, 0.85, 0, 0, 0, 0, 0.75, 12, Calvin, 
AMSGBMFZ5TAPQ, M, English, 4, 25, 1, electric kettle, round, 50, 50, 0.975, 0.975, 0.025, 0.025, 0.025, 0.025, 0, 0, 0.025, 0.025, 0.45, 13, Alex, 
AMSGBMFZ5TAPQ, M, English, 4, 25, 18, watch, sharp, 1000, 1003, 0, 0, 0.025, 0.025, 0.9, 1, 0, 0, 0, 0.025, 0.75, 14, Robert, 
AMSGBMFZ5TAPQ, M, English, 4, 25, 6, electric kettle, sharp, 50, 53, 0.9, 0.975, 0, 0, 0, 0, 0, 0, 0, 0, 0.425, 15, Frank, 
A26P66DP39SQ9A, M, English, 4, 25, 28, laptop, sharp, 1000, 1003, 0, 0.025, 0.05, 0.05, 0.225, 0.925, 0.025, 0.025, 0.025, 0.025, 0.7, 1, Ethan, 
A26P66DP39SQ9A, M, English, 4, 25, 9, electric kettle, sharp, 5000, 4997, 0.45, 0.5, 0.05, 0.05, 0.025, 0.05, 0.075, 0.95, 0, 0, 1, 2, Ivan, 
A26P66DP39SQ9A, M, English, 4, 25, 6, electric kettle, sharp, 50, 51, 0.5, 0.95, 0.05, 0.025, 0.025, 0.025, 0.025, 0.025, 0.025, 0.025, 0.5, 3, Frank, 
A26P66DP39SQ9A, M, English, 4, 25, 11, watch, round, 50, 50, 1, 0.5, 0.025, 0.025, 0.025, 0.025, 0.025, 0.025, 0.025, 0.025, 0.3, 4, Kenneth, 
A26P66DP39SQ9A, M, English, 4, 25, 23, laptop, round, 1000, 1000, 0.025, 0.025, 0.025, 0.05, 0.75, 0.75, 0, 0.05, 0.025, 0.025, 0.5, 5, Zach, 
A26P66DP39SQ9A, M, English, 4, 25, 18, watch, sharp, 1000, 1001, 0.05, 0, 0.05, 0.025, 0.575, 0.95, 0.025, 0.025, 0.025, 0.025, 0.75, 6, Robert, 
A26P66DP39SQ9A, M, English, 4, 25, 7, electric kettle, sharp, 500, 497, 0.5, 0.475, 0.1, 0.975, 0, 0.025, 0.025, 0.025, 0.025, 0.025, 0.875, 7, George, 
A26P66DP39SQ9A, M, English, 4, 25, 3, electric kettle, round, 1000, 1000, 0.5, 0.5, 0.05, 0.025, 0.775, 0.025, 0.025, 0, 0.025, 0, 0.725, 8, Calvin, 
A26P66DP39SQ9A, M, English, 4, 25, 10, electric kettle, sharp, 10000, 9999, 0.5, 0.5, 0, 0.025, 0, 0.025, 0.025, 0, 0.5, 0.625, 0.95, 9, Jake, 
A26P66DP39SQ9A, M, English, 4, 25, 19, watch, sharp, 5000, 4997, 0.025, 0.025, 0, 0.025, 0.025, 0.025, 0, 0.725, 0, 0.025, 0.9, 10, Steve, 
A26P66DP39SQ9A, M, English, 4, 25, 22, laptop, round, 500, 500, 0.025, 0, 0.775, 0.625, 0, 0, 0.025, 0.025, 0.025, 0, 0.375, 11, Winston, 
A26P66DP39SQ9A, M, English, 4, 25, 2, electric kettle, round, 500, 500, 0.5, 0.5, 0.625, 0.6, 0.025, 0, 0.025, 0.025, 0.025, 0.025, 0.75, 12, Bob, 
A26P66DP39SQ9A, M, English, 4, 25, 5, electric kettle, round, 10000, 10000, 0.5, 0.5, 0.025, 0.025, 0.025, 0, 0.025, 0.025, 0.725, 0.725, 1, 13, Eric, 
A26P66DP39SQ9A, M, English, 4, 25, 16, watch, sharp, 50, 51, 0.5, 0.825, 0.025, 0, 0, 0.025, 0, 0, 0.025, 0, 0.425, 14, Patrick, 
A26P66DP39SQ9A, M, English, 4, 25, 1, electric kettle, round, 50, 50, 0.8, 0.7, 0.025, 0.025, 0, 0.025, 0.025, 0.025, 0, 0.025, 0.35, 15, Alex, 
ARZOM5UR9E5G0, F, English, 4, 35, 7, electric kettle, sharp, 500, 501, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0.75, 1, George, 
ARZOM5UR9E5G0, F, English, 4, 35, 28, laptop, sharp, 1000, 1001, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.75, 2, Ethan, 
ARZOM5UR9E5G0, F, English, 4, 35, 2, electric kettle, round, 500, 500, 0, 0, 1, 0.5, 0, 0, 0, 0, 0, 0, 0.75, 3, Bob, 
ARZOM5UR9E5G0, F, English, 4, 35, 24, laptop, round, 5000, 5000, 0, 0, 0, 0, 0, 0, 1, 0.775, 0, 0, 1, 4, Albert, 
ARZOM5UR9E5G0, F, English, 4, 35, 26, laptop, sharp, 50, 48, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, Charles, 
ARZOM5UR9E5G0, F, English, 4, 35, 21, laptop, round, 50, 50, 1, 0.75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, Victor, 
ARZOM5UR9E5G0, F, English, 4, 35, 15, watch, round, 10000, 10000, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0.75, 1, 7, Owen, 
ARZOM5UR9E5G0, F, English, 4, 35, 10, electric kettle, sharp, 10000, 9997, 0, 0, 0, 0, 0, 0, 0, 0, 0.525, 1, 1, 8, Jake, 
ARZOM5UR9E5G0, F, English, 4, 35, 27, laptop, sharp, 500, 499, 0, 0, 0.725, 1, 0, 0, 0, 0, 0, 0, 0.5, 9, Daniel, 
ARZOM5UR9E5G0, F, English, 4, 35, 5, electric kettle, round, 10000, 10000, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0.775, 1, 10, Eric, 
ARZOM5UR9E5G0, F, English, 4, 35, 8, electric kettle, sharp, 1000, 997, 0, 0, 0, 0, 0.5, 1, 0, 0, 0, 0, 1, 11, Harry, 
ARZOM5UR9E5G0, F, English, 4, 35, 23, laptop, round, 1000, 1000, 0, 0, 0, 0.025, 1, 0.725, 0, 0, 0, 0, 0.75, 12, Zach, 
ARZOM5UR9E5G0, F, English, 4, 35, 29, laptop, sharp, 5000, 4999, 0, 0, 0, 0, 0, 0, 0.7, 1, 0, 0, 1, 13, Fred, 
ARZOM5UR9E5G0, F, English, 4, 35, 6, electric kettle, sharp, 50, 52, 0.25, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 14, Frank, 
ARZOM5UR9E5G0, F, English, 4, 35, 9, electric kettle, sharp, 5000, 5002, 0, 0, 0, 0, 0, 0, 0.75, 1, 0, 0, 1, 15, Ivan, 
A3G3LOU9P9P60N, M, English, 4, 25, 23, laptop, round, 1000, 1000, 0, 0, 0.55, 0.525, 0.925, 0.925, 0, 0, 0, 0, 0.875, 1, Zach, 
A3G3LOU9P9P60N, M, English, 4, 25, 8, electric kettle, sharp, 1000, 1002, 1, 0.975, 0, 0, 0, 0, 0, 0, 0, 0, 0.1, 2, Harry, 
A3G3LOU9P9P60N, M, English, 4, 25, 20, watch, sharp, 10000, 10002, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.575, 0.325, 0.3, 0.5, 3, Tom, 
A3G3LOU9P9P60N, M, English, 4, 25, 1, electric kettle, round, 50, 50, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0.875, 4, Alex, 
A3G3LOU9P9P60N, M, English, 4, 25, 27, laptop, sharp, 500, 498, 0, 0, 0.8, 0.85, 0.8, 0.8, 0.275, 0.25, 0.025, 0, 0.75, 5, Daniel, 
A3G3LOU9P9P60N, M, English, 4, 25, 13, watch, round, 1000, 1000, 0.775, 0.8, 0.775, 0.775, 0.775, 0.825, 0.825, 0.8, 0.45, 0.45, 0.675, 6, Matt, 
A3G3LOU9P9P60N, M, English, 4, 25, 28, laptop, sharp, 1000, 998, 0, 0, 0.75, 0.75, 0.85, 0.825, 0.45, 0.375, 0, 0, 0.825, 7, Ethan, 
A3G3LOU9P9P60N, M, English, 4, 25, 7, electric kettle, sharp, 500, 498, 0.875, 0.95, 0.325, 0.3, 0, 0, 0, 0, 0, 0, 0.3, 8, George, 
A3G3LOU9P9P60N, M, English, 4, 25, 4, electric kettle, round, 5000, 5000, 0.775, 0.8, 0.275, 0.275, 0, 0, 0, 0, 0, 0, 0.025, 9, David, 
A3G3LOU9P9P60N, M, English, 4, 25, 25, laptop, round, 10000, 10000, 0, 0, 0.725, 0.725, 0.875, 0.875, 0.3, 0.275, 0, 0, 0.1, 10, Barry, 
A3G3LOU9P9P60N, M, English, 4, 25, 15, watch, round, 10000, 10000, 0.825, 0.8, 0.825, 0.825, 0.8, 0.775, 0.825, 0.85, 0.4, 0.4, 0.375, 11, Owen, 
A3G3LOU9P9P60N, M, English, 4, 25, 24, laptop, round, 5000, 5000, 0, 0, 0.775, 0.8, 0.8, 0.85, 0.275, 0.25, 0, 0, 0.225, 12, Albert, 
A3G3LOU9P9P60N, M, English, 4, 25, 5, electric kettle, round, 10000, 10000, 0.95, 0.9, 0.275, 0.25, 0, 0, 0, 0, 0, 0, 0, 13, Eric, 
A3G3LOU9P9P60N, M, English, 4, 25, 17, watch, sharp, 500, 499, 0.875, 0.875, 0.875, 0.875, 0.775, 0.775, 0.575, 0.525, 0.325, 0.275, 0.675, 14, Quinn, 
A3G3LOU9P9P60N, M, English, 4, 25, 14, watch, round, 5000, 5000, 0.875, 0.9, 0.875, 0.875, 0.825, 0.85, 0.6, 0.575, 0.275, 0.2, 0.675, 15, Nathan, 
A1LX3YP9PCKI72, M, english, 4, 35, 17, watch, sharp, 500, 499, 0, 0, 1, 0.975, 0, 0, 0, 0, 0, 0, 1, 1, Quinn, 
A1LX3YP9PCKI72, M, english, 4, 35, 19, watch, sharp, 5000, 4999, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 2, Steve, 
A1LX3YP9PCKI72, M, english, 4, 35, 27, laptop, sharp, 500, 503, 0, 0, 1, 0.975, 0, 0, 0, 0, 0, 0, 0.75, 3, Daniel, 
A1LX3YP9PCKI72, M, english, 4, 35, 29, laptop, sharp, 5000, 5003, 0.025, 0.05, 0.025, 0.025, 0.025, 0.025, 0.975, 0.95, 0.025, 0.025, 1, 4, Fred, 
A1LX3YP9PCKI72, M, english, 4, 35, 24, laptop, round, 5000, 5000, 0.025, 0.05, 0.025, 0, 0, 0, 0.975, 0.975, 0.025, 0.025, 1, 5, Albert, 
A1LX3YP9PCKI72, M, english, 4, 35, 13, watch, round, 1000, 1000, 0, 0, 0.025, 0.025, 0.95, 0.975, 0.05, 0.025, 0.025, 0.05, 1, 6, Matt, 
A1LX3YP9PCKI72, M, english, 4, 35, 18, watch, sharp, 1000, 997, 0.025, 0.025, 0, 0.025, 0.975, 0.975, 0.025, 0.025, 0.025, 0.025, 0.975, 7, Robert, 
A1LX3YP9PCKI72, M, english, 4, 35, 7, electric kettle, sharp, 500, 499, 0.025, 0.025, 0.975, 0.975, 0.025, 0.05, 0.05, 0.05, 0.025, 0.025, 0.975, 8, George, 
A1LX3YP9PCKI72, M, english, 4, 35, 23, laptop, round, 1000, 1000, 0.025, 0.025, 0.05, 0.025, 0.975, 0.95, 0.05, 0.05, 0.05, 0.05, 0.65, 9, Zach, 
A1LX3YP9PCKI72, M, english, 4, 35, 20, watch, sharp, 10000, 9997, 0.025, 0.05, 0.025, 0.025, 0.025, 0.05, 0.025, 0.025, 0.975, 0.95, 1, 10, Tom, 
A1LX3YP9PCKI72, M, english, 4, 35, 15, watch, round, 10000, 10000, 0.025, 0.025, 0.025, 0.025, 0.05, 0.05, 0.025, 0.025, 0.975, 0.975, 1, 11, Owen, 
A1LX3YP9PCKI72, M, english, 4, 35, 26, laptop, sharp, 50, 51, 0.975, 0.975, 0.025, 0.05, 0.025, 0.025, 0.025, 0.025, 0.025, 0.025, 0, 12, Charles, 
A1LX3YP9PCKI72, M, english, 4, 35, 30, laptop, sharp, 10000, 9997, 0.025, 0.025, 0.025, 0.025, 0.025, 0.05, 0.05, 0.05, 1, 1, 1, 13, Gary, 
A1LX3YP9PCKI72, M, english, 4, 35, 21, laptop, round, 50, 50, 0.975, 0.975, 0, 0.025, 0.05, 0.025, 0.025, 0.025, 0.025, 0.025, 0, 14, Victor, 
A1LX3YP9PCKI72, M, english, 4, 35, 25, laptop, round, 10000, 10000, 0.025, 0.025, 0.025, 0.025, 0, 0.025, 0.05, 0.025, 0.975, 0.975, 0.975, 15, Barry, 
A2BH0SKH37R2VL, M, english, 4, 35, 27, laptop, sharp, 500, 502, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0.85, 1, Daniel, 
A2BH0SKH37R2VL, M, english, 4, 35, 25, laptop, round, 10000, 10000, 0, 0, 0.575, 0.625, 0.875, 0.75, 0, 0, 0, 0, 1, 2, Barry, 
A2BH0SKH37R2VL, M, english, 4, 35, 8, electric kettle, sharp, 1000, 998, 0, 0, 0.525, 0.575, 0.875, 0.75, 0.175, 0.175, 0, 0, 0.75, 3, Harry, 
A2BH0SKH37R2VL, M, english, 4, 35, 12, watch, round, 500, 500, 0, 0, 0.9, 0.8, 0.1, 0.075, 0, 0, 0, 0, 0.875, 4, Luke, 
A2BH0SKH37R2VL, M, english, 4, 35, 28, laptop, sharp, 1000, 998, 0, 0.025, 0, 0, 0.8, 1, 0, 0, 0, 0, 0.925, 5, Ethan, 
A2BH0SKH37R2VL, M, english, 4, 35, 10, electric kettle, sharp, 10000, 9997, 0, 0.025, 0.025, 0.025, 0.025, 0.025, 0.025, 0.025, 0.6, 1, 0.975, 6, Jake, 
A2BH0SKH37R2VL, M, english, 4, 35, 13, watch, round, 1000, 1000, 0, 0, 0, 0.025, 1, 0.025, 0, 0.025, 0.025, 0.025, 0.925, 7, Matt, 
A2BH0SKH37R2VL, M, english, 4, 35, 2, electric kettle, round, 500, 500, 0, 0, 1, 0.875, 0.025, 0.025, 0.025, 0, 0, 0, 0.75, 8, Bob, 
A2BH0SKH37R2VL, M, english, 4, 35, 15, watch, round, 10000, 10000, 0, 0, 1, 0.925, 0, 0.025, 0.025, 0.025, 0, 0.025, 1, 9, Owen, 
A2BH0SKH37R2VL, M, english, 4, 35, 18, watch, sharp, 1000, 1001, 0, 0.025, 0, 0, 1, 0.725, 0.025, 0.025, 0.025, 0, 0.85, 10, Robert, 
A2BH0SKH37R2VL, M, english, 4, 35, 26, laptop, sharp, 50, 47, 0.025, 0.025, 0.825, 0.825, 0.025, 0.025, 0, 0, 0.025, 0.025, 0.275, 11, Charles, 
A2BH0SKH37R2VL, M, english, 4, 35, 6, electric kettle, sharp, 50, 53, 0.85, 0.925, 0, 0, 0, 0.025, 0.025, 0.025, 0.025, 0.025, 0.5, 12, Frank, 
A2BH0SKH37R2VL, M, english, 4, 35, 4, electric kettle, round, 5000, 5000, 0.025, 0, 0.825, 0.825, 0, 0, 0.5, 0, 0.025, 0.025, 0.625, 13, David, 
A2BH0SKH37R2VL, M, english, 4, 35, 21, laptop, round, 50, 50, 0.75, 0.275, 0.225, 0.225, 0, 0, 0.025, 0.025, 0, 0, 0.4, 14, Victor, 
A2BH0SKH37R2VL, M, english, 4, 35, 22, laptop, round, 500, 500, 0, 0.025, 1, 0.7, 0.025, 0.025, 0.025, 0.025, 0, 0.025, 0.75, 15, Winston, 
A61GHYNS1DFT7, M, English, 4, 25, 1, electric kettle, round, 50, 50, 1, 0.5, 0, 0, 0, 0, 0, 0, 0.025, 0, 0.825, 1, Alex, 
A61GHYNS1DFT7, M, English, 4, 25, 14, watch, round, 5000, 5000, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 2, Nathan, 
A61GHYNS1DFT7, M, English, 4, 25, 21, laptop, round, 50, 50, 0.975, 0.75, 0, 0.025, 0, 0.025, 0.025, 0.025, 0.025, 0.025, 0.2, 3, Victor, 
